Rango de edad, Total,Para ver aun con los anteojos o lentes puestos,Para oir ,Para hablar,Para caminar o subir gradas,Para utilizar brazos o manos,Del tipo intelectual,Del tipo mental,No tiene ninguna discapacidad
Menores de 1 anno,13459,12,2,6,11,9,24,2,13398
De 1 a 4 annos,55486,148,44,323,197,69,256,51,54612
De 5 a 9 annos,68692,738,237,654,305,146,632,193,66362
De 10 a 14 annos,77937,1520,311,446,443,200,966,288,74548
De 15 a 19 annos,81776,1611,299,358,471,199,842,299,78418
De 20 a 24 annos,82907,1756,318,330,556,280,713,349,79309
De 25 a 29 annos,75077,1660,324,281,650,312,574,337,71678
De 30 a 34 annos,64807,1611,360,246,722,351,451,329,61412
De 35 a 39 annos,55448,1607,454,247,940,388,352,279,51852
De 40 a 44 annos,55183,2834,571,289,1332,549,425,381,49894
De 45 a 49 annos,52373,4701,820,312,1628,666,341,382,45083
De 50 a 54 annos,45409,5058,881,282,2098,846,302,445,37343
De 55 a 59 annos,33885,4505,938,214,2518,1013,171,325,26425
De 60 a 64 annos,25723,3993,1080,202,2742,953,145,293,18797
De 65 a 69 annos,20081,3526,1319,229,2703,917,109,285,13735
De 70 a 74 annos,15226,3041,1387,262,2661,809,144,283,9568
De 75 a 79 annos,10658,2329,1443,270,2428,742,72,246,5958
De 80 a 84 annos,7518,1863,1431,308,2257,589,114,270,3533
De 85 annos y más,6501,1843,1862,479,2712,729,132,344,2355
