Rango de edad, Total,Para ver aun con los anteojos o lentes puestos,Para oir ,Para hablar,Para caminar o subir gradas,Para utilizar brazos o manos,Del tipo intelectual,Del tipo mental,No tiene ninguna discapacidad
Menores de 1 anno,7389,5,5,-,8,7,21,6,7342
De 1 a 4 annos,29890,95,44,149,97,49,155,25,29399
De 5 a 9 annos,37880,597,117,301,182,81,370,89,36449
De 10 a 14 annos,43464,982,155,206,191,102,601,119,41521
De 15 a 19 annos,46870,1054,164,150,210,120,541,155,44806
De 20 a 24 annos,48478,1153,167,151,257,164,498,184,46315
De 25 a 29 annos,42340,1006,191,114,334,154,348,177,40347
De 30 a 34 annos,38549,1085,185,126,354,169,284,199,36464
De 35 a 39 annos,33804,1074,239,147,465,217,270,165,31617
De 40 a 44 annos,33595,1355,336,137,683,291,243,219,30834
De 45 a 49 annos,31833,2137,438,147,933,373,215,229,28070
De 50 a 54 annos,27033,2340,484,138,1213,458,185,226,22928
De 55 a 59 annos,20639,2025,502,129,1437,507,140,192,16775
De 60 a 64 annos,14912,1759,532,116,1499,507,93,147,11412
De 65 a 69 annos,11703,1531,593,125,1459,498,84,150,8495
De 70 a 74 annos,8670,1231,679,126,1477,423,57,147,5830
De 75 a 79 annos,6294,1071,691,141,1336,401,58,162,3792
De 80 a 84 annos,4269,799,703,171,1203,353,57,131,2269
De 85 annos y más,3291,762,849,211,1279,367,68,182,1326
