Rango de edad, Total,Para ver aun con los anteojos o lentes puestos,Para oir ,Para hablar,Para caminar o subir gradas,Para utilizar brazos o manos,Del tipo intelectual,Del tipo mental,No tiene ninguna discapacidad
Menores de 1 anno,5950,7,2,2,6,5,20,1,5913
De 1 a 4 annos,24790,75,20,102,73,28,106,32,24436
De 5 a 9 annos,32419,483,115,250,107,55,225,88,31300
De 10 a 14 annos,36044,867,120,171,149,74,389,114,34437
De 15 a 19 annos,38593,1014,152,139,195,90,353,127,36803
De 20 a 24 annos,41009,1228,161,142,248,103,290,129,39004
De 25 a 29 annos,39927,1258,151,113,315,150,271,167,37778
De 30 a 34 annos,36365,1251,146,108,340,155,198,139,34278
De 35 a 39 annos,31136,1232,204,109,423,169,162,152,29023
De 40 a 44 annos,29563,1648,249,86,544,237,137,172,26861
De 45 a 49 annos,28373,2527,349,127,765,318,153,210,24544
De 50 a 54 annos,24597,2696,392,126,1025,407,141,202,20442
De 55 a 59 annos,19558,2507,412,108,1151,392,104,175,15614
De 60 a 64 annos,14465,2201,426,101,1143,368,70,106,10973
De 65 a 69 annos,10417,1637,532,101,1185,366,48,121,7483
De 70 a 74 annos,7746,1393,578,106,1122,333,50,114,5112
De 75 a 79 annos,5425,1102,627,119,1141,306,44,133,3172
De 80 a 84 annos,4018,912,628,141,1095,269,48,141,2033
De 85 annos y más,3282,878,849,177,1269,290,49,175,1306
