Rango de edad, Total,Para ver aun con los anteojos o lentes puestos,Para oir ,Para hablar,Para caminar o subir gradas,Para utilizar brazos o manos,Del tipo intelectual,Del tipo mental,No tiene ninguna discapacidad
Menores de 1 anno,33589,46,12,20,30,32,87,20,33388
De 1 a 4 annos,139354,485,171,982,534,223,714,181,136733
De 5 a 9 annos,173995,2439,705,2257,866,411,1882,637,166591
De 10 a 14 annos,195680,4271,956,1489,1093,562,3003,875,185772
De 15 a 19 annos,201934,4163,858,1111,1224,641,2698,889,192425
De 20 a 24 annos,203280,4604,946,985,1631,887,2162,1057,193127
De 25 a 29 annos,184046,4397,901,774,1945,937,1727,1002,174223
De 30 a 34 annos,160678,4604,973,729,2237,1033,1375,939,150602
De 35 a 39 annos,138718,4591,1289,799,2595,1074,1131,834,128402
De 40 a 44 annos,136344,7160,1539,795,3627,1420,1062,966,122388
De 45 a 49 annos,128560,11517,2096,876,4442,1731,990,1120,109622
De 50 a 54 annos,112308,12858,2353,773,5374,2081,838,1110,91475
De 55 a 59 annos,87315,11619,2477,661,6175,2262,579,919,67723
De 60 a 64 annos,65432,10085,2963,680,6209,2179,407,723,47898
De 65 a 69 annos,49637,8320,3412,652,5773,1890,348,599,34523
De 70 a 74 annos,37117,7086,3733,684,5608,1647,290,609,23757
De 75 a 79 annos,26038,5732,3858,690,5177,1504,224,566,14767
De 80 a 84 annos,18177,4500,3695,745,4616,1191,225,517,9006
De 85 annos y más,13861,4136,4303,893,5115,1296,226,563,5246
