Rango de edad, Total,Para ver aun con los anteojos o lentes puestos,Para oir ,Para hablar,Para caminar o subir gradas,Para utilizar brazos o manos,Del tipo intelectual,Del tipo mental,No tiene ninguna discapacidad
Menores de 1 anno,7228,13,2,4,6,6,14,6,7188
De 1 a 4 annos,30638,81,33,192,98,52,115,36,30141
De 5 a 9 annos,37799,434,156,453,187,82,283,98,36461
De 10 a 14 annos,41040,885,236,357,215,111,426,124,39117
De 15 a 19 annos,40070,872,176,208,258,124,386,143,38321
De 20 a 24 annos,35488,742,178,187,284,145,334,148,33820
De 25 a 29 annos,32421,839,192,158,336,143,264,154,30663
De 30 a 34 annos,27874,796,193,128,449,200,224,135,26058
De 35 a 39 annos,25858,962,274,181,589,261,191,152,23709
De 40 a 44 annos,24291,2013,316,146,817,327,147,156,20999
De 45 a 49 annos,21386,3268,352,151,927,357,133,149,16967
De 50 a 54 annos,18261,3375,431,139,1204,505,104,138,13521
De 55 a 59 annos,14182,2982,495,122,1468,591,58,123,9762
De 60 a 64 annos,10243,2464,554,120,1466,478,64,88,6472
De 65 a 69 annos,7071,1840,564,111,1177,427,42,69,4162
De 70 a 74 annos,5213,1445,578,100,1093,344,35,57,2869
De 75 a 79 annos,3512,1059,536,106,871,251,37,50,1730
De 80 a 84 annos,2346,758,470,97,706,204,38,56,1003
De 85 annos y más,1941,780,637,166,863,233,30,76,608
