Rango de edad, Total,Para ver aun con los anteojos o lentes puestos,Para oir ,Para hablar,Para caminar o subir gradas,Para utilizar brazos o manos,Del tipo intelectual,Del tipo mental,No tiene ninguna discapacidad
Menores de 1 anno,32094,34,10,13,37,29,71,9,31922
De 1 a 4 annos,133680,350,119,517,485,175,504,129,131889
De 5 a 9 annos,168062,2260,550,1163,783,345,1244,313,162708
De 10 a 14 annos,191376,4586,816,890,921,425,2066,460,182894
De 15 a 19 annos,203242,5588,745,686,1092,457,1846,615,193972
De 20 a 24 annos,207200,5985,730,661,1154,467,1596,649,197619
De 25 a 29 annos,194378,5924,803,593,1304,564,1366,745,184779
De 30 a 34 annos,172219,5589,812,550,1605,697,1090,740,162733
De 35 a 39 annos,149353,5446,1185,645,2157,905,942,765,139249
De 40 a 44 annos,146570,9149,1414,588,3019,1271,832,961,132035
De 45 a 49 annos,139187,14564,1990,699,4345,1824,856,975,118172
De 50 a 54 annos,122948,16169,2204,703,6033,2471,695,1065,99392
De 55 a 59 annos,96266,14243,2311,541,7310,2761,477,864,74246
De 60 a 64 annos,72192,12289,2446,530,7581,2587,359,706,52518
De 65 a 69 annos,53891,10199,2746,557,7739,2478,280,661,36537
De 70 a 74 annos,40937,8484,2967,576,7590,2201,286,607,25665
De 75 a 79 annos,30500,6901,3193,694,7351,2035,253,669,17188
De 80 a 84 annos,21977,5430,3393,790,6990,1815,299,757,10511
De 85 annos y más,19577,5661,5035,1422,8613,2351,386,1155,7166
