Rango de edad, Total,Para ver aun con los anteojos o lentes puestos,Para oir ,Para hablar,Para caminar o subir gradas,Para utilizar brazos o manos,Del tipo intelectual,Del tipo mental,No tiene ninguna discapacidad
Menores de 1 anno,7263,16,4,2,4,7,17,2,7222
De 1 a 4 annos,29823,81,33,182,131,50,143,26,29317
De 5 a 9 annos,36963,369,148,495,195,68,376,89,35611
De 10 a 14 annos,40962,693,194,288,249,103,608,121,39125
De 15 a 19 annos,40637,776,176,243,281,131,571,145,38800
De 20 a 24 annos,36670,672,154,180,322,127,392,149,35073
De 25 a 29 annos,34556,773,169,179,352,164,352,160,32814
De 30 a 34 annos,30253,743,178,147,432,196,226,150,28539
De 35 a 39 annos,26881,805,284,186,560,223,231,144,24898
De 40 a 44 annos,26734,1855,319,156,779,315,159,193,23577
De 45 a 49 annos,23992,2935,467,196,998,409,185,187,19610
De 50 a 54 annos,20701,3296,486,151,1323,514,133,201,15841
De 55 a 59 annos,16146,3010,525,140,1549,578,89,152,11559
De 60 a 64 annos,12033,2580,605,130,1528,608,52,117,8013
De 65 a 69 annos,9162,2108,711,132,1492,506,61,114,5710
De 70 a 74 annos,7002,1752,736,148,1411,430,50,93,4014
De 75 a 79 annos,5040,1415,754,147,1268,350,29,89,2570
De 80 a 84 annos,3343,1045,719,155,1058,299,40,81,1458
De 85 annos y más,2768,1038,902,235,1225,359,48,132,859
