Rango de edad, Total,Para ver aun con los anteojos o lentes puestos,Para oir ,Para hablar,Para caminar o subir gradas,Para utilizar brazos o manos,Del tipo intelectual,Del tipo mental,No tiene ninguna discapacidad
Menores de 1 anno,19130,25,6,14,25,22,51,8,19012
De 1 a 4 annos,79672,307,99,402,307,122,356,108,78357
De 5 a 9 annos,101338,1838,412,941,516,257,988,326,97054
De 10 a 14 annos,116787,3460,608,663,598,316,1612,474,110404
De 15 a 19 annos,126113,3959,503,510,706,338,1459,523,119391
De 20 a 24 annos,136574,4545,581,491,916,437,1211,611,129100
De 25 a 29 annos,126686,4308,563,409,1023,465,1030,637,119451
De 30 a 34 annos,110208,4116,566,383,1216,526,857,607,103138
De 35 a 39 annos,93195,3753,837,441,1434,581,674,585,86196
De 40 a 44 annos,92323,5272,943,430,1985,778,609,656,83306
De 45 a 49 annos,90096,8325,1349,484,2886,1157,660,785,77047
De 50 a 54 annos,81945,9851,1533,506,3713,1464,527,814,66991
De 55 a 59 annos,65510,8510,1549,366,4317,1541,391,686,51663
De 60 a 64 annos,50000,7372,1803,447,4348,1465,276,575,37591
De 65 a 69 annos,37318,6270,1928,405,4415,1313,234,443,26388
De 70 a 74 annos,28001,5216,2178,403,4333,1212,193,435,18352
De 75 a 79 annos,21178,4511,2411,516,4397,1184,211,490,12381
De 80 a 84 annos,15545,3638,2587,527,4312,1067,199,523,7829
De 85 annos y más,12623,3445,3326,831,5086,1330,227,695,4942
